datetime;city;state;country;shape;duration (seconds);duration (hours/min);comments;date posted;latitude;longitude
10/1/2005 01:10;alsip;il;us;light;480;8 minutes;RED LIGHTS SEEN IN ALSIP ILLINOIS;10/11/2005;41,6688889;-87,7386111
10/1/2005 01:10;crestwood;il;us;light;300;5 min;3 small lights formed a triangle then straight line&#44 took a digital picture&#44 zoomed in a saw 3 lights inside each individual;10/11/2005;41,6611111;-87,7525
10/1/2005 01:10;manhattan;il;us;triangle;10;10 seconds;Tinley Park Lights Are Back&#33&#33&#33;10/11/2005;41,4225;-87,9858333
10/1/2005 01:10;oak forest;il;us;light;1800;15-30min;3 red lights over chicagoland area;10/11/2005;41,6027778;-87,7438889
10/1/2005 01:10;oak forest;il;us;unknown;60;60 seconds;it lasted for about one minute;10/11/2005;41,6027778;-87,7438889
10/1/2005 01:10;tinley park;il;us;triangle;0;;sitting in my yard 1:10 am i saw three red lights above my house in a triangle form i shined a light on it when i noticed it came close;10/11/2005;41,5733333;-87,7844444
10/1/2005 03:00;posen;il;us;light;1200;10-20 minutes;3 Red lights in triangle formation moving slowly and silently;10/11/2005;41,6316667;-87,6813889
10/1/2005 06:30;greenup;ky;us;circle;30;30 seconds;This has happened more than once&#33 We saw a orange circle of light moving slowly through the sky&#44 shooting about two inches to the human;10/11/2005;38,5730556;-82,8302778
10/1/2005 08:22;homestead;fl;us;light;300;5mins;its the same spot where my brother said he saw sumtin up in tha sky a few years earlier....;10/11/2005;25,4683333;-80,4777778
10/1/2005 08:30;vanderbilt;mi;us;circle;0;;white light bright 60 - 75 mph it was about 30 min long;10/11/2005;45,1427778;-84,6602778
10/1/2005 19:58;rogers;mn;us;triangle;1020;17 minutes;Triangular UFO hovered with Stench;10/20/2005;45,1888889;-93,5527778
10/1/2005 20:05;liberty hill;tx;us;light;900;15 minutes;seven objects sighted with one apparantly landing;10/11/2005;30,6647222;-97,9222222
10/1/2005 20:30;napa;ca;us;unknown;1200;20 minutes;Dim Flapping Object in Napa Sky October 1st;10/11/2005;38,2972222;-122,2844444
10/1/2005 21:30;laurelville;oh;us;unknown;300;5 mins;Very slow moving object that made no sound.;1/10/2009;39,4733333;-82,7394444
10/1/2005 21:30;oklahoma city;ok;us;light;2700;45mins;I WAS LEAVING EL RENO&#44OKLAHOMA&#44APPROXIMATELY 40 MILES WEST OF OKC ABOUT 9PM. TRAVELING NORTH ON HWY 81 I NOTICED A VERY BRIGHT STAR-LIK;10/11/2005;35,4675;-97,5161111
10/1/2005 22:00;central lake;mi;us;unknown;1500;25 min;Lights over Traverse Bay 35min moving than fixed position;10/11/2005;45,07;-85,2644444
10/1/2005 23:00;tinley park;il;us;light;120;minutes;Seen over the Tinley Park&#44 IL. area. Three red lights hovering in the sky. Changed from red to green and back again.;10/11/2005;41,5733333;-87,7844444
10/1/2006 01:30;irving;tx;us;circle;2;seconds;As we was driving down Shady Grove heading west we saw a bright blue light steaking across the sky&#44 dipping in and out of the clouds be;10/30/2006;32,8138889;-96,9486111
10/1/2006 14:00;mt. pleasant;sc;us;circle;240;approximately 4 minutes;A ball of white light hovered in the afternoon sky&#44 vanishing and reappearing 3 times&#44 before finally vanishing for good.;10/30/2006;32,7938889;-79,8627778
10/1/2006 17:00;algona;ia;us;unknown;3600;over an hour;6 people saw 2 objects in the sky that had lights and were flying in zig-zag patterns in the sky while staying in the same area.;10/30/2006;43,07;-94,2327778
10/1/2006 19:45;las vegas;nv;us;fireball;600;10 minutes;Three Fireballs in the Las Vegas sky flying in formation then becoming one fireball. ((NUFORC Note:  Possible advertising lights?  PD));12/12/2011;36,175;-115,1363889
10/1/2006 20:18;fall city;wa;us;fireball;2;2 seconds;yellow/orange fireball leaving debris trail;10/30/2006;47,5675;-121,8875
10/1/2006 20:19;orchards;wa;us;fireball;1;1 second;"Sun 10/01/2006 8:19 pm PST Metiorite descending slowly and decellerating. Left a trail of green and yellow sparks. At N80&#176;E from Orchar";10/30/2006;45,6666667;-122,5597222
10/1/2006 20:24;pullman;wa;us;circle;1;less than 1 second;Bright blue explosion followed by blue shooting object over Pullman&#44 WA;10/30/2006;46,7313889;-117,1786111
10/1/2006 21:00;orchard park;ny;us;unknown;37800;approx. 1 1/2 hours;Spotted again as before........;10/30/2006;42,7675;-78,7441667
10/1/2006 21:00;seattle;wa;us;light;20;20 seconds;A VERY bright and transluscent light that seemed to glow more than create a shape hovered above Lake Washington (so it seemed) in the W;10/30/2006;47,6063889;-122,3308333
10/1/2006 22:00;santa fe;nm;us;fireball;20;20 seconds;Several bright lights headed slowly towards horizon;10/30/2006;35,6869444;-105,9372222
10/1/2006 22:18;winslow;az;us;fireball;15;15 seconds;dividing fireball multi-colored;10/30/2006;35,0241667;-110,6966667
10/1/2006 23:00;silver city;nm;us;light;180;3 minutes;UFO over Silver City&#44 New Mexico at very low altitude.;10/30/2006;32,77;-108,2797222
10/1/2006 23:15;canon city;co;us;light;240;1 1/4 minutes;"Large bright light with aura&#44 &quot;fireworks&quot; features&#44 then several distinct white lights";10/30/2006;38,4;-105,2166667
10/1/2006 23:15;denver;co;us;circle;30;30 sec;Large bright white light with evenly spaced smaller lights in trail east of Denver moving northeast&#44 as seen by airline pilot at FL380;10/30/2006;39,7391667;-104,9841667
10/1/2006 23:15;fairplay;co;us;unknown;30;30 seconds;Six orange lights observed in the sky by three people&#44 moving at constant speed and altitude from south to north.;10/30/2006;39,2247222;-106,0013889
10/1/2006 23:15;hartsel;co;us;fireball;60;1 minute;Several glowing objects gracefully and silently following each other moving south to north in eastern sky 500 to 1000ft  high;10/30/2006;39,0216667;-105,7952778
10/1/2006 23:15;mccoy;co;us;light;75;1.25 minutes;Four silent lights flew over our home.;10/30/2006;39,9161111;-106,725
10/1/2006 23:15;santa fe;nm;us;light;45;30-45 seconds;about 23:15   sunday&#44 10/1/06--a slow-moving horizontal strip of white light that shown into my room and then truned blue and moved off;10/30/2006;35,6869444;-105,9372222
10/1/2006 23:17;cascade;co;us;circle;15;15 seconds;I was standing on my deck facing east when I saw orange objects fly from north to south. They appeared to maybe be comets but I cannot;10/30/2006;38,8966667;-104,9716667
10/1/2006 23:20;cripple creek;co;us;fireball;15;15 + seconds;Fireball object in Western Sky;10/30/2006;38,7466667;-105,1777778
10/1/2006 23:20;silverthorne;co;us;light;10;10 seconds;I saw about six lights coming toward our house in a straight line&#44 and one at a time from the furthest away&#44 they went out.;10/30/2006;39,6375;-106,0613889
10/1/2006 23:30;pueblo west;co;us;light;300;5 minutes;4-5 bright whitish-orange lights in Pueblo West&#44 Colorado on 10/1/06 at 11:30 p.m.;12/7/2006;38,35;-104,7222222
10/1/2006 23:32;farmington;nm;us;light;14;10 -14 sec;a bright lights traveling very fast with a green tail that exploded into four lights&#33;10/30/2006;36,7280556;-108,2180556
10/1/2006 23:40;san antonio;nm;us;circle;20;20 seconds;ON SUNDAY 10 01 06 MY WIFE AND I WERE DRIVING HOME FROM WHITE RUIDOSO NEW MEXICO. APPROXIMATLEY AT 11:20 PM I NOTICED OFF TO MY LEFT BO;10/30/2006;33,9177778;-106,8652778
10/1/2007 04:00;gadsden;al;us;unknown;0;still happening;The bright white light from last night made a return appearance tonight.  ((NUFORC Note:  Star??  PD));10/8/2007;34,0141667;-86,0066667
10/1/2007 09:50;charlotte;nc;us;light;1200;20min;4 DOTS OF LIGHT AROUND MOON  MID MORNING TODAY;10/8/2007;35,2269444;-80,8433333
10/1/2007 19:00;beulaville;nc;us;triangle;5;5 sec;Green Glowing Triangular Craft;10/31/2008;34,9236111;-77,7741667
10/1/2007 19:30;youngstown;fl;us;unknown;0;;Object shows its self and its power over territory;10/8/2007;30,3641667;-85,4383333
10/1/2007 20:00;ewa beach;hi;us;light;600;10 minutes;Lights flickering in the sky.;10/8/2007;21,3155556;-158,0072222
10/1/2007 20:00;tryon;nc;us;light;10;10 seconds;Strange lights in NC sky.;10/8/2007;35,2080556;-82,2386111
10/1/2007 21:00;ballinger;tx;us;unknown;300;5 minutes;Loud Roar&#44 Bright Orange Lights;10/8/2007;31,7380556;-99,9469444
10/1/2007 21:00;sanford;fl;us;triangle;120;2mins;Black Triangle shaped craft with 3lights on the bottom. (fast&#44smooth flying craft);10/8/2007;28,8002778;-81,2733333
10/1/2008 00:00;conway;ar;us;triangle;600;10 minutes;Massive/low/silent black triangle cruises back and forth over downtown Conway;5/15/2013;35,0886111;-92,4419444
10/1/2008 06:20;lynchburg;va;us;light;30;30 seconds;I was walking my dog this morning when I saw a very bright orange light approaching from the south.;10/31/2008;37,4136111;-79,1425
10/1/2008 08:00;hope mills;nc;us;fireball;0;10;Round fireball in the sky sitting still appeared and disappeared 3 or 4 times. Large in size.;1/10/2009;34,9702778;-78,9455556
10/1/2008 09:00;lanagan;mo;us;light;900;15 minutes;I reported this same object last week &#44so far three times i have seen this blinking object which moves horizontially and does tight cir;10/31/2008;36,6080556;-94,4475
10/1/2008 19:00;warwick;ri;us;circle;600;ten minutes;Myself and two of my friends were driving down the road to pick up my girlfriend when my friend in the passenger seat noticed two unide;1/5/2011;41,7;-71,4166667
10/1/2008 20:00;cabazon;ca;us;light;1200;20 min;hi&#44 last night on oct 1&#44 2008 i saw 2 star sized objects that went extremely fast in the night sky in so.calif.(cabazon) at about 8:00p;10/31/2008;33,9175;-116,7863889
10/1/2008 20:00;glenrock;wy;us;unknown;1200;several hours;Stationary object just above NE horizon with flashing red&#44 green and white lights.;10/31/2008;42,8613889;-105,8716667
10/1/2008 20:00;marysville;wa;us;circle;1800;aprox 30 minutes;2 unidentified objects above highway 2 in marysville washington;10/31/2008;48,0519444;-122,1758333
10/1/2008 20:00;wilson;nc;us;circle;600;10 minutes;Star shaped light blinking and rotating - then two of same lights after cloud went over and began to move;10/31/2008;35,7211111;-77,9158333
10/1/2008 20:03;idaho falls;id;us;light;15;15 seconds;Stationary lights in the path of the ISS;10/31/2008;43,4666667;-112,0333333
10/1/2008 20:45;leavenworth;wa;us;light;120;2 min;Big Light in the West Sky over Leavenworth Washington;10/31/2008;47,5963889;-120,6602778
10/1/2008 20:45;renton;wa;us;light;600;10 mins;lights seen at night;10/31/2008;47,4830556;-122,2158333
10/1/2008 21:00;wellington;al;us;light;120;minutes;a light over the mountain;10/31/2008;33,8225;-85,8927778
10/1/2008 21:30;lacey;wa;us;unknown;4;3 to 4 sec;Like a hot ember emitting sparks while leaving a long trail like a shooting star.;10/31/2008;47,0344444;-122,8219444
10/1/2008 22:00;garrett;in;us;triangle;4;.5 hour;Triangular shape with an array of lights and unusual amount of silent aircraft in the sky.;10/31/2008;41,3494444;-85,1355556
10/1/2008 22:55;kingsport;tn;us;triangle;3;3 seconds;East Tennessee&#44 3 orb mass in the sky;10/31/2008;36,5483333;-82,5619444
10/1/2009 09:00;canton;mi;us;triangle;3600;1 hour;Triangular shaped UFO with lights at corners hovering at cloud height over home;12/12/2009;42,3086111;-83,4822222
10/1/2009 15:38;whitefield;ok;us;light;2;seconds;Looked like a light that appeared to be moving upwards.;12/12/2009;35,2525;-95,2372222
10/1/2009 20:30;beaver;oh;us;light;10800;3 hrs;a white light moving in a circle.;12/12/2009;39,0305556;-82,8244444
10/1/2009 22:30;belmont;ms;us;triangle;120;2mins;Triangular object with 3 lights&#44 one in middle blinking.;12/12/2009;34,5097222;-88,2091667
10/1/2009 23:00;belleview;fl;us;circle;600;10 mins;Flashing Blue Orb over southern Marion county FL.;12/12/2009;29,055;-82,0625
10/1/2009 23:00;fairfield;ct;us;light;20;20 seconds;2 seperate observations. Fairfield&#44 CT;12/12/2009;41,1411111;-73,2641667
10/1/2010 06:25;aripeka;fl;us;light;8;8 sec;White light (star) traveling very fast in sky.;11/21/2010;28,4319444;-82,6644444
10/1/2010 07:00;chico;ca;us;unknown;0;daily;different shaped craft seen nightly from my front porch>more than 1  ((NUFORC Note:  Twinkling stars&#44 we suspect.  PD));1/5/2011;39,7286111;-121,8363889
10/1/2010 09:30;spotsylvania;va;us;circle;1800;30 minutes;blue&#44 red&#44 green&#44 and bright white light hovering over field near Thornburg Va food lion.;4/3/2011;38,2008333;-77,5894444
10/1/2010 10:05;seattle;wa;us;unknown;0;ongoing;Voices that sound human but not human and being that are not human and humans that are NOT Human;9/24/2012;47,6063889;-122,3308333
